ID;Genero;rango_edad;distrito;nivel_educativo;situacion_laboral;nivel_socioeconomico;variedad_productos_financieros;conceptos_ahorro;Tarjeto de Debito;depósitos en cuentas de ahorro/corriente;Préstamos personales;Tarjeta de crédito;Compras en cuotas con tarjeta de crédito;No he utilizado ninguno;prestamos_garantia;inversion_fondos_comunes;diferencias_creditos;leasing;arrendamiento_financiero;creditos_educativos;ventajas_desventajas;menores_edad;mayores_edad;responsable_desiciones;presupuesto;presupuesto_familiar;plan_presupuesto_familiar
2520;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;No estoy seguro/a;No;No;Si;Si;Ninguno;2;Yo mismo/a;Si;Si;Siempre
2521;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;Si;No estoy seguro/a;3;3;Yo mismo/a;Si;No;No tengo un plan
2522;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No;No;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No;No;No;No;No;No;Ninguno;Ninguna;Otro;Si;No estoy seguro/a;La mayoría de las veces
2523;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;1;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
2524;Femenino;40 años o más;Distrito 2;Educación secundaria;Desempleado;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;No;Si;No;No;No;Si;Ninguno;1;Yo mismo/a;Si;Si;Algunas veces
2525;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;1;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2526;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Desempleado;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;3;2;Ambos, en colaboración;No;No;No tengo un plan
2527;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No estoy seguro/a;No estoy seguro/a;Si;1;2;Yo mismo/a;Si;No estoy seguro/a;No tengo un plan
2528;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;No estoy seguro/a;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No estoy seguro/a;No;No estoy seguro/a;No;No;No;Ninguno;2;Ambos, en colaboración;Si;No estoy seguro/a;Algunas veces
2529;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;Si;No;Si;Si;Si;3;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
2530;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Alto;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No estoy seguro/a;No estoy seguro/a;Si;No;Si;1;3;Otro;Si;Si;Siempre
2531;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;Si;No estoy seguro/a;Si;Si;Si;3;1;Yo mismo/a;Si;No;No tengo un plan
2532;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;No;Si;Si;Si;Si;Si;Si;Ninguno;3;Yo mismo/a;Si;Si;Siempre
2533;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No estoy seguro/a;Si;No;Si;Si;Si;3;2;Ambos, en colaboración;Si;Si;Algunas veces
2534;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No;No;Si;Si;Si;No estoy seguro/a;Si;2;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2535;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;Si;Si;Si;3;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2536;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Alto;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No;Si;No estoy seguro/a;Si;2;2;Ambos, en colaboración;Si;Si;Siempre
2537;Masculino;40 años o más;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No estoy seguro/a;Si;Si;Si;3;1;Yo mismo/a;No;No;No tengo un plan
2538;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;Si;Si;Si;Si;Si;1;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2539;Femenino;40 años o más;Distrito 2;Educación universitaria;Desempleado;Bajo;No estoy seguro/a;No;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;Si;No;Ninguno;3;Otro;Si;No estoy seguro/a;La mayoría de las veces
2540;Femenino;40 años o más;Distrito 2;Educación universitaria;Desempleado;Medio;No estoy seguro/a;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No estoy seguro/a;No estoy seguro/a;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
2541;Femenino;18 - 25 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;3;Ambos, en colaboración;Si;No;Algunas veces
2542;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;2;2;Yo mismo/a;Si;Si;La mayoría de las veces
2543;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Alto;No;Si;FALSO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;No;No;3;3;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;La mayoría de las veces
2544;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Alto;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No;No;No;No estoy seguro/a;Si;Si;Ninguno;1;Ambos, en colaboración;Si;Si;Algunas veces
2545;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;Si;No;Si;1;2;Otro;Si;Si;La mayoría de las veces
2546;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;No;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;Si;No estoy seguro/a;1;3;Otro;Si;Si;Algunas veces
2547;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;No estoy seguro/a;No estoy seguro/a;Si;Si;No;Si;No estoy seguro/a;2;2;Otro;Si;Si;La mayoría de las veces
2548;Masculino;18 - 25 años;Distrito 2;Educación técnica o profesional;Estudiante;Medio;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;Si;No;No;No;Si;No estoy seguro/a;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
2549;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;3;Yo mismo/a;Si;Si;Algunas veces
2550;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Siempre
2551;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;Ninguno;2;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;No tengo un plan
2552;Femenino;40 años o más;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
2553;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;No;Si;No estoy seguro/a;Si;Si;1;1;Otro;Si;Si;La mayoría de las veces
2554;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;No;No;Si;No;No;Si;No;2;1;Yo mismo/a;Si;No;No tengo un plan
2555;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;No estoy seguro/a;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;Si;No;No;No;No;No;1;3;Yo mismo/a;Si;Si;Siempre
2556;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;Si;No;Si;Si;Si;Si;Si;Ninguno;3;Yo mismo/a;Si;Si;Siempre
2557;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;No;No estoy seguro/a;Si;No estoy seguro/a;Si;Si;Si;1;3;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
2558;Masculino;18 - 25 años;Distrito 2;Postgrado;Empleado a tiempo parcial;Medio;No;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No;Si;No;Si;Si;No;Ninguno;3;Yo mismo/a;Si;No;Siempre
2559;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No estoy seguro/a;Si;No;No;Si;Si;1;2;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
2560;Masculino;40 años o más;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;No estoy seguro/a;No estoy seguro/a;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;No;No;No estoy seguro/a;No;No;No estoy seguro/a;No;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
2561;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No;No;No;Si;Si;Ninguno;3;Otro;Si;Si;La mayoría de las veces
2562;Masculino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No estoy seguro/a;Si;No estoy seguro/a;3;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2563;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;No estoy seguro/a;Si;Si;Si;Si;No;Si;Ninguno;3;Otro;Si;Si;Algunas veces
2564;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;No;No;No;3;3;Otro;Si;Si;Algunas veces
2565;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;Si;No estoy seguro/a;1;3;Otro;Si;No estoy seguro/a;Algunas veces
2566;Femenino;18 - 25 años;Distrito 2;Educación técnica o profesional;Estudiante;Alto;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;3;Ambos, en colaboración;No;Si;Siempre
2567;Masculino;40 años o más;Distrito 2;Educación primaria;Otro;Bajo;No;No;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;No;No;No;3;2;Ambos, en colaboración;Si;Si;Siempre
2568;Femenino;18 - 25 años;Distrito 2;Postgrado;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No;Si;Si;No estoy seguro/a;Ninguno;2;Ambos, en colaboración;Si;Si;Algunas veces
2569;Masculino;26 - 39 años;Distrito 2;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;Ninguno;2;Ambos, en colaboración;Si;Si;Algunas veces
2570;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;1;3;Otro;Si;Si;La mayoría de las veces
2571;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;Si;Si;Ninguno;Ninguna;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;Algunas veces
2572;Femenino;40 años o más;Distrito 2;Educación secundaria;Empleado a tiempo parcial;Medio;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;2;Ninguna;Yo mismo/a;Si;Si;La mayoría de las veces
2573;Masculino;40 años o más;Distrito 2;Postgrado;Autónomo;Alto;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
2574;Femenino;40 años o más;Distrito 2;Educación secundaria;Empleado a tiempo parcial;Medio;No;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;No;No;No;No;Si;No estoy seguro/a;Ninguno;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
2575;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;No;No;No;No;Si;Si;1;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
2576;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;No;No;No;Si;Si;1;1;Yo mismo/a;Si;Si;Siempre
2577;Femenino;40 años o más;Distrito 2;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;Si;No;Si;Ninguno;3;Yo mismo/a;Si;Si;Algunas veces
2578;Femenino;40 años o más;Distrito 2;Educación secundaria;Empleado a tiempo completo;Medio;No;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;No;Si;Ninguno;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2579;Femenino;40 años o más;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;No;Si;No;No;No;Si;Ninguno;1;Yo mismo/a;Si;Si;Algunas veces
2580;Masculino;40 años o más;Distrito 2;Educación universitaria;Jubilado;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No estoy seguro/a;Si;Si;Si;1;2;Yo mismo/a;Si;Si;La mayoría de las veces
2581;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;1;2;Yo mismo/a;Si;Si;Algunas veces
2582;Masculino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;No;No;No tengo un plan
2583;Femenino;40 años o más;Distrito 2;Educación secundaria;Autónomo;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;No;Si;No;No;Si;Si;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
2584;Masculino;40 años o más;Distrito 2;Postgrado;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No;No;Si;No;Si;Si;Si;1;3;Yo mismo/a;Si;Si;Siempre
2585;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No;No;Si;Si;Si;Si;Si;2;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2586;Femenino;40 años o más;Distrito 2;Educación universitaria;Desempleado;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;No;Si;3;1;Yo mismo/a;No;No;No tengo un plan
2587;Femenino;40 años o más;Distrito 2;Educación secundaria;Autónomo;Medio;No estoy seguro/a;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;No;Si;No;No;No;No estoy seguro/a;2;3;Mi cónyuge o pareja;Si;Si;La mayoría de las veces
2588;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No;No;No estoy seguro/a;No estoy seguro/a;Si;Ninguno;2;Otro;Si;Si;La mayoría de las veces
2589;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Autónomo;Medio;No estoy seguro/a;Si;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;No;1;2;Mi cónyuge o pareja;Si;No;La mayoría de las veces
2590;Masculino;26 - 39 años;Distrito 2;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;Si;No;Si;Ninguno;2;Yo mismo/a;Si;Si;Algunas veces
2591;Masculino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No estoy seguro/a;No;No;No;Si;Ninguno;2;Otro;No;No;Nunca
2592;Femenino;26 - 39 años;Distrito 2;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;Si;No estoy seguro/a;Si;2;2;Ambos, en colaboración;Si;No estoy seguro/a;La mayoría de las veces
2593;Femenino;40 años o más;Distrito 2;Sin educación formal;Autónomo;Medio;No estoy seguro/a;No;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;1;Ninguna;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;No tengo un plan
2594;Masculino;40 años o más;Distrito 2;Postgrado;Empleado a tiempo parcial;Medio;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;Si;Si;No;Si;Si;Si;Ninguno;3;Ambos, en colaboración;Si;Si;Siempre
2595;Femenino;40 años o más;Distrito 2;Educación secundaria;Autónomo;Medio;Si;Si;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;2;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
2596;Femenino;26 - 39 años;Distrito 2;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;Si;No;No;No;3;1;Yo mismo/a;No;No;Algunas veces
2597;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Desempleado;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;Si;Si;No;No estoy seguro/a;Si;Si;1;1;Ambos, en colaboración;Si;Si;La mayoría de las veces
2598;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;Ninguno;1;Otro;Si;Si;Siempre
2599;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;No;Si;Si;Si;Si;Si;2;3;Yo mismo/a;Si;Si;La mayoría de las veces
2600;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Alto;No estoy seguro/a;Si;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;3;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
2601;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No estoy seguro/a;No;No estoy seguro/a;Ninguno;1;Yo mismo/a;Si;Si;Siempre
2602;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;No;Si;Si;No;Si;Si;2;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
2603;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Alto;Si;Si;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;No estoy seguro/a;No;Si;No;Si;No;No;1;3;Yo mismo/a;Si;No estoy seguro/a;No tengo un plan
2604;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No estoy seguro/a;No;Si;No;No estoy seguro/a;No estoy seguro/a;Si;3;2;Yo mismo/a;Si;No estoy seguro/a;La mayoría de las veces
2605;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Estudiante;Medio;No estoy seguro/a;No estoy seguro/a;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;No;Si;No;No estoy seguro/a;Si;No estoy seguro/a;3;3;Yo mismo/a;No estoy seguro/a;No;Algunas veces
2606;Femenino;40 años o más;Distrito 2;Educación técnica o profesional;Autónomo;Medio;Si;No estoy seguro/a;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;No;Si;No;No estoy seguro/a;No;Si;1;2;Ambos, en colaboración;Si;Si;Siempre
2607;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No;Si;Si;Si;1;2;Yo mismo/a;Si;Si;Algunas veces
2608;Masculino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;No;Si;Ninguno;1;Ambos, en colaboración;Si;Si;Algunas veces
2609;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;Si;Si;No estoy seguro/a;Si;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
2610;Femenino;26 - 39 años;Distrito 2;Educación técnica o profesional;Estudiante;Medio;No estoy seguro/a;No estoy seguro/a;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;Si;Si;1;Ninguna;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;No tengo un plan
2611;Femenino;18 - 25 años;Distrito 2;Educación universitaria;Empleado a tiempo parcial;Alto;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;No;Si;No;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;La mayoría de las veces
2612;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No estoy seguro/a;No;No estoy seguro/a;No estoy seguro/a;Si;2;1;Ambos, en colaboración;No estoy seguro/a;No estoy seguro/a;No tengo un plan
2613;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;No;Si;No;Si;Si;Si;2;1;Ambos, en colaboración;Si;Si;La mayoría de las veces
2614;Masculino;40 años o más;Distrito 2;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;No;Si;1;3;Ambos, en colaboración;Si;Si;Siempre
2615;Femenino;18 - 25 años;Distrito 2;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;Si;Si;No;No;Si;Si;Si;1;3;Otro;Si;Si;Siempre
